timestamp,x,y,z,lv_x,lv_y,lv_z,av_x,av_y,av_z
1713352189.8767946,-9057.5517578125,6083.44775390625,17805.3359375,0.0,0.0033999999999997574,0.0,-7.888609052203252e-27,-1.40811754577441e-25,3.9443045258996273e-28
1713352189.8876522,-9072.4482421875,6093.6396484375,17800.912109375,0.0,0.0033999999999997574,0.0,-3.313215801927561e-26,-2.41785950452387e-25,-3.176861194460797e-23
1713352189.907012,-9065.7841796875,6083.44775390625,17798.384765625,0.0,0.0033999999999997574,0.0,3.313215801927563e-26,2.417859504523869e-25,3.176861194460799e-23
1713352189.9113405,-9055.2001953125,6081.8798828125,17795.224609375,0.0,0.0033999999999997574,0.0,3.313215801927563e-26,2.417859504523869e-25,3.176861194460799e-23
1713352189.9220107,-9056.767578125,6092.4638671875,17801.544921875,0.0,0.0033999999999997574,0.0,-3.313215801927561e-26,-2.41785950452387e-25,-3.176861194460797e-23
1713352189.9345846,-9059.51171875,6088.93603515625,17797.751953125,0.0,0.0033999999999997574,0.0,-3.313215801927561e-26,-2.41785950452387e-25,-3.176861194460797e-23
1713352189.9477987,-9044.6162109375,6090.11181640625,17804.705078125,0.0,0.0033999999999997574,0.0,3.313215801927563e-26,2.417859504523869e-25,3.176861194460799e-23
1713352189.9620943,-9044.6162109375,6096.3837890625,17787.009765625,0.0,0.0033999999999993237,0.0,-3.313215801927561e-26,-2.41785950452387e-25,-3.176861194460797e-23
1713352189.970361,-9057.16015625,6097.56005859375,17795.224609375,0.0,0.0033999999999997574,0.0,-3.313215801927561e-26,-2.41785950452387e-25,-3.176861194460797e-23
1713352189.9831202,-9056.767578125,6086.97607421875,17780.689453125,0.0,0.0033999999999997574,0.0,-9.308558681609783e-26,1.9129885251491477e-25,1.5890419644319495e-23
1713352189.9915273,-9056.767578125,6114.02392578125,17787.009765625,0.0,0.0033999999999997574,0.0,9.308558681609786e-26,-1.912988525149148e-25,-1.5890419644319478e-23
1713352190.0046213,-9048.1435546875,6092.07177734375,17783.849609375,0.0,0.0033999999999997574,0.0,9.308558681609786e-26,-1.912988525149148e-25,-1.5890419644319478e-23
